Assembly	contigs
# contigs (>= 0 bp)	88534
# contigs (>= 1000 bp)	6017
# contigs (>= 5000 bp)	147
# contigs (>= 10000 bp)	2
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	30802480
Total length (>= 1000 bp)	11978922
Total length (>= 5000 bp)	913389
Total length (>= 10000 bp)	20562
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	12051
Largest contig	10468
Total length	16206848
GC (%)	42.37
N50	1640
N90	664
auN	2095.2
L50	2989
L90	9223
# N's per 100 kbp	0.00
